University,Advisor ID,Advisor Academic Rank,Advisor Gender,Advisor Home Country,Advisor Standard Field,Advisor Previous Universities,Advisor Citation Count,Advisor h-index,Advisor Publication Count,Advisor First Paper Year,Student ID,Student Degree,Student Start Year,Student Gender,Student Home Country,Student Previous Universities
Caltech,advisor0,Professor,Male,United States,Computer systems organization,"University of St. Thomas/University of California, Berkeley/University of California, Berkeley",6798,44,307,2002,student12,MS,2011,Male,United States,Oklahoma State University
Caltech,advisor0,Professor,Male,United States,Computer systems organization,"University of St. Thomas/University of California, Berkeley/University of California, Berkeley",6798,44,307,2002,student13,PHD,2011,Male,United States,University of Illinois at Urbana-Champaign
Caltech,advisor0,Professor,Male,United States,Computer systems organization,"University of St. Thomas/University of California, Berkeley/University of California, Berkeley",6798,44,307,2002,student14,MS,2011,Male,Taiwan,National Central University
Caltech,advisor0,Professor,Male,United States,Computer systems organization,"University of St. Thomas/University of California, Berkeley/University of California, Berkeley",6798,44,307,2002,student15,PHD,2017,Male,United States,Georgia Institute of Technology
Caltech,advisor0,Professor,Male,United States,Computer systems organization,"University of St. Thomas/University of California, Berkeley/University of California, Berkeley",6798,44,307,2002,student16,PHD,2018,Male,United States,Georgia Institute of Technology
Caltech,advisor0,Professor,Male,United States,Computer systems organization,"University of St. Thomas/University of California, Berkeley/University of California, Berkeley",6798,44,307,2002,student17,MS,2013,Male,United States,Texas A&M University
Caltech,advisor0,Professor,Male,United States,Computer systems organization,"University of St. Thomas/University of California, Berkeley/University of California, Berkeley",6798,44,307,2002,student18,PHD,2010,Male,India,"National Institute of Technology, Karnataka"
Caltech,advisor0,Professor,Male,United States,Computer systems organization,"University of St. Thomas/University of California, Berkeley/University of California, Berkeley",6798,44,307,2002,student19,MS,2012,Male,United States,Texas A&M University
Caltech,advisor0,Professor,Male,United States,Computer systems organization,"University of St. Thomas/University of California, Berkeley/University of California, Berkeley",6798,44,307,2002,student20,PHD,2015,Male,China,China University of Petroleum/Texas A&M University
Caltech,advisor0,Professor,Male,United States,Computer systems organization,"University of St. Thomas/University of California, Berkeley/University of California, Berkeley",6798,44,307,2002,student21,MS,2013,Male,India,Guru Gobind Singh Indraprastha University
Caltech,advisor0,Professor,Male,United States,Computer systems organization,"University of St. Thomas/University of California, Berkeley/University of California, Berkeley",6798,44,307,2002,student22,PHD,2016,Female,United States,University of St. Thomas/Caltech
Caltech,advisor0,Professor,Male,United States,Computer systems organization,"University of St. Thomas/University of California, Berkeley/University of California, Berkeley",6798,44,307,2002,student23,PHD,2015,Male,United States,Texas A&M University
Caltech,advisor1,Professor,Male,United States,Theory of computation/Applied computing,Carnegie Mellon University/Carnegie Mellon University/Carnegie Mellon University,8102,48,133,2002,student24,PHD,2014,Male,Singapore,Nanyang Technological University
Caltech,advisor1,Professor,Male,United States,Theory of computation/Applied computing,Carnegie Mellon University/Carnegie Mellon University/Carnegie Mellon University,8102,48,133,2002,student25,PHD,2008,Male,India,University of Mumbai
Caltech,advisor1,Professor,Male,United States,Theory of computation/Applied computing,Carnegie Mellon University/Carnegie Mellon University/Carnegie Mellon University,8102,48,133,2002,student26,PHD,2016,Male,China,Tsinghua University
Caltech,advisor1,Professor,Male,United States,Theory of computation/Applied computing,Carnegie Mellon University/Carnegie Mellon University/Carnegie Mellon University,8102,48,133,2002,student27,PHD,2017,Male,China,Chinese University of Hong Kong
Caltech,advisor1,Professor,Male,United States,Theory of computation/Applied computing,Carnegie Mellon University/Carnegie Mellon University/Carnegie Mellon University,8102,48,133,2002,student28,PHD,2008,Male,China,Chinese University of Hong Kong
Caltech,advisor1,Professor,Male,United States,Theory of computation/Applied computing,Carnegie Mellon University/Carnegie Mellon University/Carnegie Mellon University,8102,48,133,2002,student29,PHD,2016,Male,United States,"University of California, Berkeley"
Caltech,advisor1,Professor,Male,United States,Theory of computation/Applied computing,Carnegie Mellon University/Carnegie Mellon University/Carnegie Mellon University,8102,48,133,2002,student30,PHD,2010,Male,Singapore,Cornell University
Caltech,advisor1,Professor,Male,United States,Theory of computation/Applied computing,Carnegie Mellon University/Carnegie Mellon University/Carnegie Mellon University,8102,48,133,2002,student31,PHD,2015,Male,China,University of Illinois at Urbana-Champaign/Caltech
Caltech,advisor1,Professor,Male,United States,Theory of computation/Applied computing,Carnegie Mellon University/Carnegie Mellon University/Carnegie Mellon University,8102,48,133,2002,student32,PHD,2012,Female,China,Tsinghua University
Caltech,advisor1,Professor,Male,United States,Theory of computation/Applied computing,Carnegie Mellon University/Carnegie Mellon University/Carnegie Mellon University,8102,48,133,2002,student33,PHD,2012,Male,Singapore,University of Cambridge
Caltech,advisor1,Professor,Male,United States,Theory of computation/Applied computing,Carnegie Mellon University/Carnegie Mellon University/Carnegie Mellon University,8102,48,133,2002,student34,PHD,2013,Male,France,Columbia University
Caltech,advisor1,Professor,Male,United States,Theory of computation/Applied computing,Carnegie Mellon University/Carnegie Mellon University/Carnegie Mellon University,8102,48,133,2002,student35,PHD,2007,Female,United States,University of Texas at Austin
Caltech,advisor1,Professor,Male,United States,Theory of computation/Applied computing,Carnegie Mellon University/Carnegie Mellon University/Carnegie Mellon University,8102,48,133,2002,student36,PHD,2009,Male,India,"Indian Institute of Technology, Kanpur"
Caltech,advisor1,Professor,Male,United States,Theory of computation/Applied computing,Carnegie Mellon University/Carnegie Mellon University/Carnegie Mellon University,8102,48,133,2002,student37,PHD,2009,Male,China,Peking University
Caltech,advisor1,Professor,Male,United States,Theory of computation/Applied computing,Carnegie Mellon University/Carnegie Mellon University/Carnegie Mellon University,8102,48,133,2002,student38,PHD,2014,Female,United States,University of Washington
Caltech,advisor1,Professor,Male,United States,Theory of computation/Applied computing,Carnegie Mellon University/Carnegie Mellon University/Carnegie Mellon University,8102,48,133,2002,student39,PHD,2015,Male,Iran,Sharif University of Technology/University of Southern California
Caltech,advisor1,Professor,Male,United States,Theory of computation/Applied computing,Carnegie Mellon University/Carnegie Mellon University/Carnegie Mellon University,8102,48,133,2002,student40,PHD,2020,Male,China,Tsinghua University
Caltech,advisor2,Professor,Male,Iran,Hardware/Applied computing,Sharif University of Technology/Stanford University/Stanford University,26042,72,683,1997,student41,PHD,2020,Male,United States,Georgia Institute of Technology/Caltech
Caltech,advisor2,Professor,Male,Iran,Hardware/Applied computing,Sharif University of Technology/Stanford University/Stanford University,26042,72,683,1997,student42,PHD,2021,Male,United States,"University of California, Los Angeles"
Caltech,advisor2,Professor,Male,Iran,Hardware/Applied computing,Sharif University of Technology/Stanford University/Stanford University,26042,72,683,1997,student43,PHD,,Male,,
Caltech,advisor2,Professor,Male,Iran,Hardware/Applied computing,Sharif University of Technology/Stanford University/Stanford University,26042,72,683,1997,student44,PHD,,Male,,
Caltech,advisor2,Professor,Male,Iran,Hardware/Applied computing,Sharif University of Technology/Stanford University/Stanford University,26042,72,683,1997,student45,PHD,2020,Male,United States,University of Michigan-Ann Arbor
Caltech,advisor2,Professor,Male,Iran,Hardware/Applied computing,Sharif University of Technology/Stanford University/Stanford University,26042,72,683,1997,student46,PHD,,Male,,
Caltech,advisor2,Professor,Male,Iran,Hardware/Applied computing,Sharif University of Technology/Stanford University/Stanford University,26042,72,683,1997,student47,PHD,,Female,,
Caltech,advisor2,Professor,Male,Iran,Hardware/Applied computing,Sharif University of Technology/Stanford University/Stanford University,26042,72,683,1997,student48,PHD,2015,Male,China,"University of California, Los Angeles"
Caltech,advisor2,Professor,Male,Iran,Hardware/Applied computing,Sharif University of Technology/Stanford University/Stanford University,26042,72,683,1997,student49,PHD,2016,Male,,
Caltech,advisor2,Professor,Male,Iran,Hardware/Applied computing,Sharif University of Technology/Stanford University/Stanford University,26042,72,683,1997,student50,PHD,2019,Male,United States,Duke University/Caltech
Caltech,advisor2,Professor,Male,Iran,Hardware/Applied computing,Sharif University of Technology/Stanford University/Stanford University,26042,72,683,1997,student51,PHD,2015,Male,Iran,Sharif University of Technology/Caltech
Caltech,advisor2,Professor,Male,Iran,Hardware/Applied computing,Sharif University of Technology/Stanford University/Stanford University,26042,72,683,1997,student52,PHD,2013,Male,United States,Caltech/Caltech
Caltech,advisor2,Professor,Male,Iran,Hardware/Applied computing,Sharif University of Technology/Stanford University/Stanford University,26042,72,683,1997,student53,PHD,2014,Male,Iran,K.N.Toosi University of technology/Sharif University of Technology
Caltech,advisor3,Associate Professor,Male,Iran,Hardware,University of Tehran/University of Victoria/Stanford University,6496,34,170,2004,student54,PHD,,Male,,
Caltech,advisor3,Associate Professor,Male,Iran,Hardware,University of Tehran/University of Victoria/Stanford University,6496,34,170,2004,student55,PHD,2019,Male,Australia,University of Sydney
Caltech,advisor3,Associate Professor,Male,Iran,Hardware,University of Tehran/University of Victoria/Stanford University,6496,34,170,2004,student56,PHD,2019,Male,United States,Princeton University
Caltech,advisor3,Associate Professor,Male,Iran,Hardware,University of Tehran/University of Victoria/Stanford University,6496,34,170,2004,student57,PHD,,Male,Venezuela,University of Carabobo/University of South Florida
Caltech,advisor3,Associate Professor,Male,Iran,Hardware,University of Tehran/University of Victoria/Stanford University,6496,34,170,2004,student58,PHD,1993,Female,United States,Rice University/Rice University
Caltech,advisor3,Associate Professor,Male,Iran,Hardware,University of Tehran/University of Victoria/Stanford University,6496,34,170,2004,student59,PHD,,Male,United States,San Diego State University
Caltech,advisor3,Associate Professor,Male,Iran,Hardware,University of Tehran/University of Victoria/Stanford University,6496,34,170,2004,student60,PHD,2018,Male,United States,Cornell University
Caltech,advisor3,Associate Professor,Male,Iran,Hardware,University of Tehran/University of Victoria/Stanford University,6496,34,170,2004,student61,PHD,,Male,India,"Indian Institute of Technology, Kharagpur"
Caltech,advisor3,Associate Professor,Male,Iran,Hardware,University of Tehran/University of Victoria/Stanford University,6496,34,170,2004,student62,PHD,2020,Male,United States,Northwestern University
Caltech,advisor3,Associate Professor,Male,Iran,Hardware,University of Tehran/University of Victoria/Stanford University,6496,34,170,2004,student63,PHD,,Male,United States,Northwestern University
Caltech,advisor4,Professor,Male,Romania,Hardware,Caltech/Stanford University/Stanford University,14840,55,421,2006,student64,PHD,2020,Female,,
Caltech,advisor4,Professor,Male,Romania,Hardware,Caltech/Stanford University/Stanford University,14840,55,421,2006,student65,PHD,2016,Male,South Korea,Seoul National University
Caltech,advisor4,Professor,Male,Romania,Hardware,Caltech/Stanford University/Stanford University,14840,55,421,2006,student66,PHD,2011,Male,United States,Stanford University/Stanford University
Caltech,advisor4,Professor,Male,Romania,Hardware,Caltech/Stanford University/Stanford University,14840,55,421,2006,student67,PHD,2016,Male,United States,University of Washington/University of Washington
Caltech,advisor4,Professor,Male,Romania,Hardware,Caltech/Stanford University/Stanford University,14840,55,421,2006,student68,PHD,2016,Male,,
Caltech,advisor4,Professor,Male,Romania,Hardware,Caltech/Stanford University/Stanford University,14840,55,421,2006,student69,PHD,2018,Male,China,University of Science and Technology of China
Caltech,advisor4,Professor,Male,Romania,Hardware,Caltech/Stanford University/Stanford University,14840,55,421,2006,student70,PHD,,Male,Canada,University of Waterloo
Caltech,advisor4,Professor,Male,Romania,Hardware,Caltech/Stanford University/Stanford University,14840,55,421,2006,student71,PHD,2013,Male,United States,Reed College
Caltech,advisor4,Professor,Male,Romania,Hardware,Caltech/Stanford University/Stanford University,14840,55,421,2006,student72,PHD,2017,Male,,
Caltech,advisor4,Professor,Male,Romania,Hardware,Caltech/Stanford University/Stanford University,14840,55,421,2006,student73,PHD,2012,Male,Japan,University of Tokyo/University of Tokyo
Caltech,advisor4,Professor,Male,Romania,Hardware,Caltech/Stanford University/Stanford University,14840,55,421,2006,student74,PHD,2014,Male,Iran,University of Tehran/Caltech
Caltech,advisor4,Professor,Male,Romania,Hardware,Caltech/Stanford University/Stanford University,14840,55,421,2006,student75,PHD,2014,Female,Iran,University of Tehran
Caltech,advisor4,Professor,Male,Romania,Hardware,Caltech/Stanford University/Stanford University,14840,55,421,2006,student76,PHD,2014,Female,Canada,University of Waterloo
Caltech,advisor4,Professor,Male,Romania,Hardware,Caltech/Stanford University/Stanford University,14840,55,421,2006,student77,PHD,,Female,,
Caltech,advisor4,Professor,Male,Romania,Hardware,Caltech/Stanford University/Stanford University,14840,55,421,2006,student78,PHD,2017,Male,United Kingdom,University of Cambridge
Caltech,advisor4,Professor,Male,Romania,Hardware,Caltech/Stanford University/Stanford University,14840,55,421,2006,student79,PHD,,Male,,
Caltech,advisor4,Professor,Male,Romania,Hardware,Caltech/Stanford University/Stanford University,14840,55,421,2006,student80,PHD,2020,Male,Singapore,University of Oxford
Caltech,advisor4,Professor,Male,Romania,Hardware,Caltech/Stanford University/Stanford University,14840,55,421,2006,student81,PHD,,Male,United States,University of Chicago
Caltech,advisor4,Professor,Male,Romania,Hardware,Caltech/Stanford University/Stanford University,14840,55,421,2006,student82,PHD,,Male,,
Caltech,advisor4,Professor,Male,Romania,Hardware,Caltech/Stanford University/Stanford University,14840,55,421,2006,student83,PHD,,Male,,
Caltech,advisor4,Professor,Male,Romania,Hardware,Caltech/Stanford University/Stanford University,14840,55,421,2006,student84,PHD,2014,Female,Japan,Keio University
Caltech,advisor4,Professor,Male,Romania,Hardware,Caltech/Stanford University/Stanford University,14840,55,421,2006,student85,PHD,2020,Female,,
Caltech,advisor5,Professor,Male,United Kingdom,Computing methodologies/Theory of computation,University of Bristol/University of Oxford,15829,62,394,1987,student86,PHD,2018,Male,United States,Oklahoma State University
Caltech,advisor5,Professor,Male,United Kingdom,Computing methodologies/Theory of computation,University of Bristol/University of Oxford,15829,62,394,1987,student87,PHD,2018,Male,China,Tsinghua University
Caltech,advisor5,Professor,Male,United Kingdom,Computing methodologies/Theory of computation,University of Bristol/University of Oxford,15829,62,394,1987,student88,PHD,2016,Male,Bulgaria,Caltech
Caltech,advisor5,Professor,Male,United Kingdom,Computing methodologies/Theory of computation,University of Bristol/University of Oxford,15829,62,394,1987,student89,PHD,2019,Male,United States,Stanford University
Caltech,advisor5,Professor,Male,United Kingdom,Computing methodologies/Theory of computation,University of Bristol/University of Oxford,15829,62,394,1987,student90,PHD,2018,Male,United States,Columbia University
Caltech,advisor5,Professor,Male,United Kingdom,Computing methodologies/Theory of computation,University of Bristol/University of Oxford,15829,62,394,1987,student91,PHD,2020,Female,United States,MIT
Caltech,advisor5,Professor,Male,United Kingdom,Computing methodologies/Theory of computation,University of Bristol/University of Oxford,15829,62,394,1987,student92,PHD,,Male,Russia,
Caltech,advisor6,Professor,Female,India,Computing methodologies,"Indian Institute of Technology, Madras/Cornell University",7184,45,222,2006,student93,PHD,2015,Male,Turkey,Boğaziçi University
Caltech,advisor6,Professor,Female,India,Computing methodologies,"Indian Institute of Technology, Madras/Cornell University",7184,45,222,2006,student94,PHD,2019,Male,China,Nanjing University of Aeronautics and Astronautics
Caltech,advisor6,Professor,Female,India,Computing methodologies,"Indian Institute of Technology, Madras/Cornell University",7184,45,222,2006,student95,PHD,2010,Female,China,
Caltech,advisor6,Professor,Female,India,Computing methodologies,"Indian Institute of Technology, Madras/Cornell University",7184,45,222,2006,student96,PHD,2010,Male,Iran,Sharif University of Technology
Caltech,advisor6,Professor,Female,India,Computing methodologies,"Indian Institute of Technology, Madras/Cornell University",7184,45,222,2006,student97,PHD,2013,Female,Iran,Shiraz University/Amirkabir University of Technology
Caltech,advisor6,Professor,Female,India,Computing methodologies,"Indian Institute of Technology, Madras/Cornell University",7184,45,222,2006,student98,PHD,,Male,China,Washington University in St. Louis
Caltech,advisor6,Professor,Female,India,Computing methodologies,"Indian Institute of Technology, Madras/Cornell University",7184,45,222,2006,student99,PHD,2014,Male,Iran,Sharif University of Technology
Caltech,advisor6,Professor,Female,India,Computing methodologies,"Indian Institute of Technology, Madras/Cornell University",7184,45,222,2006,student100,PHD,2014,Female,China,Nanjing University of Science and Technology/University of Pennsylvania
Caltech,advisor6,Professor,Female,India,Computing methodologies,"Indian Institute of Technology, Madras/Cornell University",7184,45,222,2006,student101,PHD,2017,Female,China,Zhejiang University of Technology
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student102,PHD,,Male,,
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student103,PHD,2003,Male,United States,Caltech
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student104,PHD,,Male,United States,Tulane University/Comillas Pontifical University
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student105,PHD,2008,Male,United States,Caltech/Caltech
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student106,PHD,1994,Male,Canada,University of British Columbia
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student107,PHD,2001,Male,,
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student108,PHD,2012,Male,United States,Caltech/Caltech
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student109,PHD,2010,Male,,
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student110,PHD,,Male,United States,Caltech
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student111,PHD,,,South Korea,Kyung Hee University/Seoul National University
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student112,PHD,2004,Male,United States,University of Michigan-Ann Arbor/Caltech
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student113,PHD,2004,Female,Taiwan,National Central University/National Central University
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student114,PHD,1995,Male,,
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student115,PHD,,Male,United States,"University of California, San Diego"
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student116,PHD,2006,Male,Pakistan,NED University of Engineering & Technology/Caltech
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student117,PHD,,Male,United States,Caltech/University of Southern California
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student118,PHD,2013,Male,United States,Caltech
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student119,PHD,2013,,United States,Caltech
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student120,PHD,,Male,,
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student121,PHD,2005,Male,India,"Indian Institute of Technology, Bombay"
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student122,PHD,1999,Male,,
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student123,PHD,,Male,,
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student124,PHD,,Female,South Korea,Korea University/Caltech
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student125,PHD,2006,Male,Kenya,Moi University
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student126,PHD,2016,Female,Myanmar,Bates College/Caltech
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student127,PHD,,Male,,
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student128,PHD,,Male,,
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student129,PHD,,Male,,
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student130,PHD,,Male,,
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student131,PHD,1996,Female,,
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student132,PHD,,Male,United States,Boston College/Harvard University
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student133,PHD,,Male,,
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student134,PHD,2008,Male,,
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student135,PHD,,Male,United States,
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student136,PHD,1990,Female,,
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student137,PHD,,Male,United States,Auburn University
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student138,PHD,,Male,,
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student139,PHD,2011,Male,United States,"University of California, Riverside/California State University, Los Angeles"
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student140,PHD,1999,Male,United States,Caltech
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student141,PHD,,Male,,
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student142,PHD,,Male,,
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student143,PHD,1997,Male,,
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student144,PHD,,Male,United States,Lehigh University
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student145,PHD,2001,Male,,Caltech
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student146,PHD,1999,Male,,Kyoto University
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student147,PHD,1997,Male,,
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student148,PHD,2004,Male,,
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student149,PHD,2017,Male,United States,George Washington University/Caltech
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student150,PHD,,Female,United States,Caltech
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student151,PHD,,Male,United States,Caltech/Caltech
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student152,PHD,,Male,,
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student153,PHD,2000,Male,Algeria,Caltech
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student154,PHD,,Female,,University of Niš
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student155,PHD,1989,Female,United States,St. Bonaventure University
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student156,PHD,,Female,United States,"California State University, Los Angeles/Caltech"
Caltech,advisor7,Professor,Male,United States,Hardware,New Mexico Tech/New Mexico Tech/New Mexico Tech,30860,77,635,1983,student157,PHD,2003,Female,,Cornell University
